人民币	人民币 ￥
想吐	想吐 🤢
喷嚏	喷嚏 🤧
打喷嚏	打喷嚏 🤧
鼻涕	鼻涕 🤧
擤鼻涕	擤鼻涕 🤧
擤鼻子	擤鼻子 🤧
鼻炎	鼻炎 🤧
吐	吐 🤮
吐了	吐了 🤮
呕吐	呕吐 🤮
吐出来	吐出来 🤮
爆炸头	爆炸头 🤯
爆炸脑	爆炸脑 🤯
脑子爆炸	脑子爆炸 🤯
脑袋爆炸	脑袋爆炸 🤯
脑爆炸	脑爆炸 🤯
爆头	爆头 🤯
微醺	微醺 🥴
醉了	醉了 🥴
发热	发热 🥵
脸发烧	脸发烧 🥵
辣	辣 🥵
辣死	辣死 🥵
辣死了	辣死了 🥵
热死	热死 🥵
热死了	热死了 🥵
冷	冷 🥶
冰冷	冰冷 🥶
好冷	好冷 🥶
很冷	很冷 🥶
冷冰冰	冷冰冰 🥶
冷脸	冷脸 🥶
冻僵	冻僵 🥶
冻僵了	冻僵了 🥶
满面寒霜	满面寒霜 🥶
牛仔	牛仔 🤠
牛仔帽	牛仔帽 🤠
牛仔帽脸	牛仔帽脸 🤠
派对脸	派对脸 🥳
伪装	伪装 🥸
伪装的脸	伪装的脸 🥸
隐瞒身份	隐瞒身份 🥸
太阳镜	太阳镜 😎 🕶
墨镜	墨镜 😎 🕶
墨镜笑脸	墨镜笑脸 😎
自信	自信 😎
书呆子	书呆子 🤓
书呆子脸	书呆子脸 🤓
单片眼镜	单片眼镜 🧐
带单片眼镜的脸	带单片眼镜的脸 🧐
探究	探究 🧐
研究	研究 🧐
不满	不满 ☹️ 🙁
不爽	不爽 ☹️
不高兴	不高兴 ☹️ 🙁
不开心	不开心 ☹️ 🙁
皱眉	皱眉 ☹️
不懂	不懂 😕
困惑	困惑 😕
困扰	困扰 😕
疑惑	疑惑 😕
焦头烂额	焦头烂额 😖
纠结	纠结 😖
失望	失望 😞
难过	难过 😞
担心	担心 😟
担忧	担忧 😟
哭	哭 😢 😭
哭了	哭了 😢 😭
哭泣	哭泣 😢 😭
流泪	流泪 😢
流眼泪	流眼泪 😢
忍耐	忍耐 😣
失望但如释重负	失望但如释重负 😥
难过但释然	难过但释然 😥
啊	啊 😦 😧 😲
吃惊	吃惊 😦 😧 😮 😯 😲
惊讶	惊讶 😦 😧 😮 😯 😲
震惊	震惊 😦 😧 😲
目瞪口呆	目瞪口呆 😦
怕	怕 😨 😱
可怕	可怕 😨 😱
害怕	害怕 😨 😱
恐惧	恐惧 😨 😱
疲倦	疲倦 😩
疲劳	疲劳 😩
疲惫	疲惫 😩
抓狂	抓狂 😫
大哭	大哭 😭
放声大哭	放声大哭 😭
痛哭	痛哭 😭
哦	哦 😮
吓死	吓死 😱
吓死了	吓死了 😱
吓人	吓人 😱
尖叫	尖叫 😱
恐怖	恐怖 😱
恐惧尖叫	恐惧尖叫 😱
惊声尖叫	惊声尖叫 😱
害羞	害羞 😳
羞涩	羞涩 😳
愣住	愣住 😳
微微不满	微微不满 🙁
心情不好	心情不好 🙁
忍住泪水	忍住泪水 🥹
强忍泪水	强忍泪水 🥹
要哭了	要哭了 🥹
含泪	含泪 🥹
可怜	可怜 🥺
可怜兮兮	可怜兮兮 🥺
